MinTemp,MaxTemp,Rainfall,WindSpeed9am,Humidity9am,RainToday
2.4,11.6,1.2,15,71,Yes
-1.1,11,0.2,0,92,No
2.3,11.6,19.2,26,78,Yes
-2.2,11.6,0,2,68,No
-3.5,11.2,0,6,76,No
-1,12.2,0,7,82,No
-2.1,12.9,0,7,92,No
-2,11.3,0.2,2,88,No
-2.3,9.7,0,6,92,No
-1.6,10.7,1.4,28,74,Yes
0.8,12.2,0,19,69,No
-2.8,12.2,0,0,84,No
-2.8,14.1,0,0,81,No
3,9.7,1,19,64,No
4.4,11.5,6.6,28,67,Yes
2.3,12.8,0,4,70,No
-2,12.3,0,4,81,No
-1.9,10.9,0,0,78,No
4.8,14.1,4,30,67,Yes
-0.6,11.1,0,7,89,No
3.1,12.5,1.2,6,69,Yes
-2.9,9.6,0,6,76,No
-3.5,7.6,0.4,30,92,No
-0.3,9.3,0.4,9,72,No
0.1,10.4,0,22,69,No
2.3,12.2,0,20,58,No
2.1,10.7,0,28,59,No
4.6,14.7,0,28,54,No
3.7,14.2,0,24,52,No
-1.3,11.6,0,9,59,No
-3.4,12.5,0,7,89,No
-5.3,13.1,0,4,94,No
0,14,0,13,60,No
2.4,14.1,0,15,50,No
-0.6,12.2,0,15,66,No
2.3,11.6,0,30,49,No
-3.7,14.4,0,2,64,No
-0.9,14.2,0,7,82,No
-1.5,17.3,0,0,77,No
-3.3,15.1,0,9,57,No
-0.1,14.7,0,6,60,No
-0.2,16.2,0,0,74,No
0.5,16.3,0,4,81,No
6.1,17.2,4,24,89,Yes
4.1,14.8,7.4,20,60,Yes
0.1,16.7,0,2,69,No
3.2,12.1,0,17,69,No
5.4,11.3,0.2,11,65,No
5.8,12.4,0,13,79,No
6.3,16.1,0,19,63,No
-0.9,16.7,0,7,84,No
0.2,15.5,1,0,79,No
-3.7,14.7,0,9,53,No
-2.7,15.2,0,6,62,No
-2.5,16.6,0,4,68,No
-0.5,21.6,0,9,44,No
9,25.5,0,20,47,No
13.1,19.4,9.8,39,71,Yes
8.7,19.7,1.6,31,63,Yes
3.9,13.2,3.4,26,53,Yes
0.7,14.1,0,6,69,No
1.1,18,0,2,82,No
5.1,23.3,0,9,54,No
7.5,23.3,0,15,46,No
4.7,19.5,0,13,42,No
3.2,21.9,0,2,51,No
7.8,16.2,17.4,15,73,Yes
2.4,17.3,0,4,67,No
3.2,18.7,0,4,70,No
2.5,20.9,0,20,48,No
6.5,25.7,0,2,62,No
14.4,24.3,0,31,36,No
4.9,18.9,0,6,41,No
2.3,16.8,0,6,52,No
1.4,20.6,0,6,56,No
5.6,27.6,0,15,44,No
16.8,28.9,0,31,44,No
14.4,20.7,7.6,20,94,Yes
10.3,21.3,3,7,79,Yes
11.2,18,0,24,65,No
0.3,16,8.2,11,68,Yes
0.5,17.9,0,2,72,No
0.5,20,0,2,69,No
4.6,22,0,6,82,No
8.2,22.4,0,2,70,No
4.5,23.9,0,4,67,No
6.7,26.1,0,6,56,No
11.9,21.1,13.2,7,82,Yes
9.2,19.6,0.6,4,71,No
4.4,21,0,2,73,No
5,24.1,0,0,73,No
6.7,24.7,0,4,80,No
8.3,28.5,0,2,66,No
11.3,27.4,0.2,6,60,No
9,20.6,0,11,54,No
3.4,15,0.8,35,43,No
3.2,18,0,26,47,No
0.9,20.7,0,2,71,No
3.3,25.5,0,4,57,No
7.9,26.1,0,0,45,No
9,30.7,0,7,38,No
7.1,28.4,0,2,45,No
12.5,19.9,0,11,63,No
12.5,26.9,0,6,69,No
12.3,30.2,0,31,43,No
